Data,col,joi,pla,tri
source_train,0.0,0.0,0.0,0.0
noise,3.4177990549041564,2.8461275676988707,3.1047774843135527,3.730962282537312
source,0.0,0.0,0.0,0.0
specaug,3.5543015741327078,2.680761242763463,2.9461102059703,3.310658680812692
time,2.1763521472616927,2.0070571681931137,2.033674208524869,2.4209793280665757
wavegan,3.165442084922665,2.6655213154441673,2.891268152769632,3.6179936628796225
