Data,col,joi,pla,tri
source_train,4.757165034925137,3.1683240714826697,3.986053545757071,4.966703951222355
noise,5.258803010614893,4.41484768637442,4.848033475710618,5.343486804025352
source,0.0,0.0,0.0,0.0
specaug,6.497343597499172,4.805897783382459,5.320990510327756,6.1087005280762465
time,3.9316250360436324,3.0850446536138567,3.080315718350461,4.037764103100252
wavegan,5.028538734423208,3.841384401298575,4.0044236900675205,5.242012144435586
